head	relation	tail
/m/04j14qc	film.film.initial_release_date	2005.91666667
/m/05x8n	people.person.date_of_birth	1926.91666667
/m/01773g	location.location.area	71.0
/m/027vps	people.person.height_meters	1.77
/m/0p9gg	people.person.height_meters	1.75
/m/05bht9	people.deceased_person.date_of_death	1985.16666667
/m/0mlm_	location.geocode.latitude	38.34
/m/0gyy0	people.deceased_person.date_of_death	2000.58333333
/m/02ldmw	location.geocode.longitude	-80.2364
/m/017lqp	people.person.height_meters	1.85
/m/0qxzd	location.geocode.longitude	-122.080833
/m/04mhxx	people.person.date_of_birth	1984.33333333
/m/0fhp9	topic_server.population_number	1714227.0
/m/01vzxmq	people.person.height_meters	1.78
/m/0l1pj	topic_server.population_number	136443.0
/m/0jgvy	location.geocode.longitude	-1.7936
/m/0kq39	location.geocode.longitude	-119.65
/m/01xg_w	people.person.height_meters	1.65
/m/042tq	location.location.area	28.46
/m/02xwzh	location.geocode.longitude	-87.71914
/m/02fgpf	people.person.date_of_birth	1949.58333333
/m/02tjl3	film.film.initial_release_date	2003.66666667
/m/06sy4c	people.person.date_of_birth	1986.83333333
/m/0yj9v	location.location.area	107.484506579
/m/01nf9x	location.geocode.latitude	-41.441944
/m/017cw	location.geocode.longitude	28.966667
/m/0mqs0	location.location.area	2745.38739696
/m/018d5b	topic_server.population_number	222189.0
/m/0dlqv	location.geocode.longitude	-70.666667
/m/0htcn	people.deceased_person.date_of_death	1982.91666667
/m/0c1d0	location.location.area	53.0947562619
/m/0bxc4	topic_server.population_number	76716.0
/m/01fqm	location.geocode.longitude	44.433333
/m/03xk1_	people.person.date_of_birth	1928.16666667
/m/0w9hk	location.geocode.latitude	44.0234
/m/09146g	film.film.initial_release_date	2008.41666667
/m/04n2vgk	people.person.date_of_birth	1984.08333333
/m/01t07j	people.person.date_of_birth	1932.83333333
/m/03_3d	topic_server.population_number	128056026.0
/m/051ls	location.geocode.latitude	50.85
/m/01w0v	location.geocode.latitude	52.333333
/m/0mxhc	topic_server.population_number	376905.0
/m/04bdzg	people.person.height_meters	1.82
/m/0hnp7	people.person.height_meters	1.88
/m/0g34_	location.location.area	1240.0
/m/011k4g	people.deceased_person.date_of_death	1972.91666667
/m/01_5bb	location.location.area	850.0
/m/0fb_1	topic_server.population_number	66602.0
/m/09wc5	location.geocode.longitude	52.533333
/m/0g1rw	organization.organization.date_founded	1924.33333333
/m/0__wm	location.geocode.latitude	32.811667
/m/01309x	people.person.date_of_birth	1948.25
/m/0bkf4	people.deceased_person.date_of_death	1981.41666667
/m/01722w	organization.organization.date_founded	1179.0
/m/0c663	location.geocode.latitude	41.008611
/m/0nbfm	location.geocode.latitude	51.5177
/m/0nryt	topic_server.population_number	189931.0
/m/018n1k	location.location.area	145.68
/m/09glw	location.geocode.latitude	27.988056
/m/0cq86w	film.film.initial_release_date	1968.75
/m/0291hr	film.film.initial_release_date	1978.0
/m/01y8d4	people.deceased_person.date_of_death	1996.08333333
/m/058wp	location.geocode.latitude	21.416667
/m/0n5y4	location.geocode.longitude	-71.68
/m/02znwv	people.deceased_person.date_of_death	1981.0
/m/0jfqp	location.location.area	51.0
/m/0fc1m	location.geocode.longitude	-77.77
/m/0f2v0	topic_server.population_number	358224.0
